partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
"华晨宇, 宋茜, 康姆士, 希林娜依高",Artist,CN,1,18919,1841,96619,0,18919.0,1841.0,96619.0,117379.0,"[""4799176128859112|#2022为你空投计划#(96,619 likes)""]",2022-08-05T10:43:36+00:00,2022-08-05T10:43:36+00:00
Porsche,Brand,CN,9,5040,4971,96192,0,560.0,552.33,10688.0,11800.33,"[""5196953786256206|2025#和平精英刺激之夜# 吉时已到！2025年刺激之夜全明星送福利！ 和平精英品牌代言人华晨宇、(57,730 likes)"", ""5196968886538659|和平精英的微博视频(32,936 likes)"", ""5235721741795433|#2025和平精英全球总决赛#(1,425 likes)""]",2025-07-23T13:41:27+00:00,2025-11-22T02:00:00+00:00
"华晨宇, 宋茜, 希林娜依高, 康姆士COMZ",Artist,CN,1,34165,48558,86773,0,34165.0,48558.0,86773.0,169496.0,"[""4804872892056878|惊喜，从不辜负每一次追寻！8月21日16:00，锁定#2022PEL夏季赛总决赛# 暨空投节盛典「超(86,773 likes)""]",2022-08-21T04:00:30+00:00,2022-08-21T04:00:30+00:00
"华晨宇, 宋茜, 希林娜依高, 康姆士",Artist,CN,1,26387,1199,83859,0,26387.0,1199.0,83859.0,111445.0,"[""4805361864019846|和平精英的微博视频(83,859 likes)""]",2022-08-22T12:23:30+00:00,2022-08-22T12:23:30+00:00
"华晨宇, 宋茜, 一条小团团OvO, 逍遥散人M",Artist,CN,1,1957,1248,74628,0,1957.0,1248.0,74628.0,77833.0,"[""4833283890744045|#你最想和谁组队#(74,628 likes)""]",2022-11-07T13:35:40+00:00,2022-11-07T13:35:40+00:00
硬糖少女303-希林娜依高,Artist,CN,1,16323,3506,68283,0,16323.0,3506.0,68283.0,88112.0,"[""4762451075924951|硬糖少女303希林娜依·高(68,283 likes)""]",2022-04-26T02:31:20+00:00,2022-04-26T02:31:20+00:00
"华晨宇, 宋茜, 希林娜依高, 一条小团团, 逍遥散人",Artist,CN,1,11010,1693,64947,0,11010.0,1693.0,64947.0,77650.0,"[""4832519953058082|#你最想和谁组队#(64,947 likes)""]",2022-11-05T11:00:03+00:00,2022-11-05T11:00:03+00:00
祝绪丹,Artist,CN,7,17277,6073,62847,0,2468.14,867.57,8978.14,12313.86,"[""5236831550704441|#和平精英雪战到底#(27,430 likes)"", ""5241565247179093|和平精英的微博视频(22,195 likes)"", ""5192265396915293|和平精英的微博视频(5,598 likes)""]",2025-07-25T04:00:01+00:00,2026-02-13T06:30:00+00:00
麦当劳,Brand,CN,20,4701,12499,57438,0,235.05,624.95,2871.9,3731.9,"[""4920474569540322|抽奖详情(10,444 likes)"", ""4917243206435744|和平精英的微博视频(7,159 likes)"", ""4917213008495458|#和平精英麦当劳乐园开园# 和平精英麦当劳门店，即将开业！ 和平精英麦当劳乐园，喜欢您来！和平精英麦(5,749 likes)""]",2023-05-15T13:00:00+00:00,2023-07-18T05:00:00+00:00
张予曦,Artist,CN,2,41601,41760,55836,0,20800.5,20880.0,27918.0,69598.5,"[""5042200199041276|张予曦的微博视频(54,695 likes)"", ""5266894644314778|和平百变小舞配饰穿搭拆解，多套风格自由搭配，速来GET张予曦同款穿搭，新年与特种兵们不见不散～(1,141 likes)""]",2024-06-06T01:34:30+00:00,2026-02-16T02:30:00+00:00
"吴京, 华晨宇, 王宝强, 硬糖少女303-希林娜依高, 梁龙, 林晓峰, 单依纯, 汪汪汪佳辉",Artist,CN,1,2596,2075,54846,0,2596.0,2075.0,54846.0,59517.0,"[""4766791858129064|和平精英的微博视频(54,846 likes)""]",2022-05-08T02:00:03+00:00,2022-05-08T02:00:03+00:00
Chinese Paladin,Game,CN,6,2088,1260,52820,0,348.0,210.0,8803.33,9361.33,"[""4866569304016426|抽奖详情(50,434 likes)"", ""4866539105550416|抽奖详情(662 likes)"", ""4867565874315454|和平精英的微博视频(531 likes)""]",2023-02-07T08:00:00+00:00,2023-02-17T08:00:00+00:00
上城士,Other,CN,1,7284,3757,50761,0,7284.0,3757.0,50761.0,61802.0,"[""5265445092591560|#和平精英春节双神装降临#(50,761 likes)""]",2026-02-12T02:30:00+00:00,2026-02-12T02:30:00+00:00
敖瑞鹏,Artist,CN,3,3799,5393,47993,0,1266.33,1797.67,15997.67,19061.67,"[""5265475291580183|#和平精英春节双神装降临#(21,254 likes)"", ""5265490396058675|和平精英的微博视频(13,635 likes)"", ""5265460197065639|上城士的微博视频(13,104 likes)""]",2026-02-12T03:30:01+00:00,2026-02-12T05:30:01+00:00
"吴京, 华晨宇, 宋茜, 龚琳娜, 呼兰, 何广智, 徐志胜, 鸟鸟, 小北, 黄健翔, 管泽元",Artist,CN,1,748,834,45344,0,748.0,834.0,45344.0,46926.0,"[""4860672955384014|和平精英的微博视频(45,344 likes)""]",2023-01-22T03:30:01+00:00,2023-01-22T03:30:01+00:00
breo倍轻松,Brand,CN,1,22571,8477,40920,0,22571.0,8477.0,40920.0,71968.0,"[""5026623940985864|#和平精英#(40,920 likes)""]",2024-04-24T02:00:00+00:00,2024-04-24T02:00:00+00:00
Pleasant Goat,Anime,CN,8,3367,5864,39414,0,420.88,733.0,4926.75,6080.62,"[""5198864525298488|和平精英的微博视频(35,245 likes)"", ""5194077332572412|微博抽奖公示(1,019 likes)"", ""5192612681616204|#喜羊羊与灰太狼快闪#(630 likes)""]",2025-07-04T10:30:00+00:00,2025-08-12T09:02:36+00:00
斗罗大陆,Anime,CN,6,7450,5738,35908,0,1241.67,956.33,5984.67,8182.67,"[""5266509607734555|和平精英的微博视频(15,016 likes)"", ""5266524706969985|《斗罗大陆》官方正版授权合作人物「小舞」，角色装扮系统上线，百变现身海岛，领携新一轮的极致战斗和平精(13,252 likes)"", ""5266286889927816|#和平精英新皮肤#(3,394 likes)""]",2026-02-14T10:15:00+00:00,2026-02-15T02:00:00+00:00
"华晨宇, 宋茜, 希林娜依高",Artist,CN,1,999,929,35735,0,999.0,929.0,35735.0,37663.0,"[""4832529011451567|#华晨宇全网找队友#(35,735 likes)""]",2022-11-05T11:36:03+00:00,2022-11-05T11:36:03+00:00
"哈尔滨文旅, 哈尔滨冰雪大世界, 祝绪丹Bambi","Brand, Brand, Artist",CN,1,10326,2433,34313,0,10326.0,2433.0,34313.0,47072.0,"[""5236816451211422|和平精英的微博视频(34,313 likes)""]",2025-11-25T02:30:00+00:00,2025-11-25T02:30:00+00:00
广州文旅,Other,CN,2,2613,1087,31169,0,1306.5,543.5,15584.5,17434.5,"[""4851351609416289|和平精英的微博视频(30,684 likes)"", ""4852478757327425|#和平精英穿粤了#  和平精英广州文旅重磅联动火热开启中！不仅游戏内可以云游广州塔，鸡仔今日还迫不及(485 likes)""]",2022-12-27T10:10:20+00:00,2022-12-30T12:49:13+00:00
路特斯,Brand,CN,15,4168,11721,30431,0,277.87,781.4,2028.73,3088.0,"[""4788913644503494|和平精英的微博视频(13,458 likes)"", ""4785721862262699|和平精英的微博视频(2,127 likes)"", ""4787146970631111|和平精英的微博视频(1,877 likes)""]",2022-06-29T02:30:18+00:00,2022-08-01T16:00:04+00:00
McLaren,Brand,CN,23,5896,11207,29706,0,256.35,487.26,1291.57,2035.17,"[""4923366056133676|微博抽奖公示(10,855 likes)"", ""4923796383340482|#鸡仔茶话会#(1,685 likes)"", ""4924113472718633|#集结吧！特种兵#(1,678 likes)""]",2023-07-03T16:00:00+00:00,2023-08-13T13:53:30+00:00
姚安娜,Artist,CN,3,2979,4554,25008,0,993.0,1518.0,8336.0,10847.0,"[""5011101746201177|和平精英的微博视频(18,880 likes)"", ""5026329505039866|和平精英的微博视频(4,098 likes)"", ""5026344597718081|#姚安娜又给网友机会了#(2,030 likes)""]",2024-03-12T06:00:21+00:00,2024-04-23T07:30:00+00:00
巴啦啦小魔仙,Anime,CN,9,2838,7694,24408,0,315.33,854.89,2712.0,3882.22,"[""5052893151369659|刘美含的微博视频(15,387 likes)"", ""5189441826064368|抽奖详情(3,647 likes)"", ""5198848772801364|#和平精英巴啦啦小魔仙二次联动#(1,602 likes)""]",2023-03-26T08:00:00+00:00,2025-08-12T08:00:00+00:00
"敖瑞鹏, 王玉雯",Artist,CN,1,1002,1464,22795,0,1002.0,1464.0,22795.0,25261.0,"[""5265799930446702|#请选择你的和平吃鸡搭子#(22,795 likes)""]",2026-02-13T02:00:00+00:00,2026-02-13T02:00:00+00:00
哈尔滨冰雪大世界,Brand,CN,6,6519,4286,20740,0,1086.5,714.33,3456.67,5257.5,"[""4988346585844810|抽奖详情(11,332 likes)"", ""5246608473589412|#跟着和平精英走遍哈尔滨#(3,052 likes)"", ""4987164941355214|和平精英的微博视频(2,212 likes)""]",2024-01-06T04:44:02+00:00,2025-12-29T03:30:01+00:00
Ne Zha,Movie,CN,23,15450,6350,20345,0,671.74,276.09,884.57,1832.39,"[""5193698789033079|和平精英的微博视频(4,832 likes)"", ""5193095865701623|抽奖详情(2,948 likes)"", ""5196598951020922|和平精英的微博视频(1,587 likes)""]",2025-07-27T11:00:00+00:00,2025-09-10T08:00:00+00:00
特战荣耀,Movie,CN,2,2213,1188,19859,0,1106.5,594.0,9929.5,11630.0,"[""4758124738907219|和平精英的微博视频(19,716 likes)"", ""4758109811904005|#特战荣耀里开了一局和平精英# “T”城地图已开启，准备集合，大吉大利，一起夺冠！#特战荣耀游戏照进(143 likes)""]",2022-04-14T03:00:43+00:00,2022-04-14T04:00:02+00:00
欧莱雅,Brand,CN,2,4489,2216,18267,0,2244.5,1108.0,9133.5,12486.0,"[""4813198693243434|和平精英携手第二代欧莱雅小金瓶护发精油推出联名款限定礼盒！戳→ 网页链接 ，速速get花花同款神器，(17,512 likes)"", ""4772683206101349|和平精英的微博视频(755 likes)""]",2022-05-24T08:10:11+00:00,2022-09-13T03:24:16+00:00
任哲,Artist,CN,5,7627,2558,17915,0,1525.4,511.6,3583.0,5620.0,"[""5237903951397244|和平精英的微博视频(9,082 likes)"", ""5237911164295259|#和平精英天象三御#(4,554 likes)"", ""5237186388825781|和平精英的微博视频(1,831 likes)""]",2025-11-25T05:00:00+00:00,2025-11-28T03:00:00+00:00
"哈尔滨文旅, 哈尔滨冰雪大世界",Other,CN,2,3068,981,16882,0,1534.0,490.5,8441.0,10465.5,"[""5236129423954696|#和平精英雪战到底#(12,564 likes)"", ""5236124953084449|和平精英的微博视频(4,318 likes)""]",2025-11-23T04:42:13+00:00,2025-11-23T05:00:00+00:00
虞书欣,Artist,CN,1,730,1991,15976,0,730.0,1991.0,15976.0,18697.0,"[""5198894184799644|2025#和平精英刺激之夜#虞书欣cos焦糖拿铁甜度超标！🍬《海岛奇幻巡游》舞台直击！和平精英品牌代(15,976 likes)""]",2025-08-12T11:00:27+00:00,2025-08-12T11:00:27+00:00
