mid,bid,created_at,text_preview,video_title,reposts,comments,attitudes,video_url,duration_sec,thumbnail,is_collab,partner,category
5259080659899373,QoMXnFxhj,2026-01-25T13:00:01+00:00,#和平精英##HIT安全系统# HIT1.6反诈专项！端内、外联动治理+地铁反诈优化！【特种兵行为指南】净化游戏生态，严打欺诈、重拳出击！HIT1.6通过端内升,和平精英的微博视频,2,22,37,"https://f.video.weibocdn.com/u0/umKSoDaKgx08uMGutVl601041200KQqC0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603224&ssig=xtdwHydL%2Bi&KID=unistore,video",143.429,https://wx3.sinaimg.cn/orj480/007KbAWFgy1i9l8gpuc2bj31hc0u0b29.jpg,1,Metro Exodus,Game
5270148588243460,QtqSSyAv2,2026-02-25T02:00:01+00:00,和平精英#想去你的2026# 易泽组建新战队，队友三缺一！ 和平精英的微博视频,和平精英的微博视频,6,25,36,"https://f.video.weibocdn.com/u0/V7MeoJGkgx08vi4Pnwk801041201vdYr0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603150&ssig=pCovqGBRw8&KID=unistore,video",202.618,https://wx1.sinaimg.cn/orj480/007KbAWFgy1ia804ytm5wj31hc0u04qp.jpg,0,,
5269062179356891,QsYCBDg9B,2026-02-22T02:03:00+00:00,和平精英 #想去你的2026#小痣一点，口罩一戴！易泽韩澈上演《替身风云》 和平精英的微博视频,和平精英的微博视频,144,18,36,"https://f.video.weibocdn.com/u0/VbKvU3ymgx08vi3Dkipi01041201KEgu0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603152&ssig=VfcenJCsf4&KID=unistore,video",279.01,https://wx3.sinaimg.cn/orj480/007KbAWFgy1ia7zn1llr5j31hc0u04qp.jpg,0,,
5266683256378304,QrYJDqLhS,2026-02-15T12:30:01+00:00,#和平精英神装逸闻录##和平精英天马神君##和平精英灵驹仙姬#山海秘境，丙午贺岁马年全新双红装【灵驹仙姬·云歌】&【天马神君·驭风】已于2月15日，正式上线！天,和平精英的微博视频,73,18,36,"https://f.video.weibocdn.com/u0/vSOurayRgx08vmTJBCvK01041203IQ2M0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603169&ssig=3HxMqjZ2En&KID=unistore,video",144.381,https://wx4.sinaimg.cn/orj480/007KbAWFgy1iabhnl710ij31hc0u04qr.jpg,0,,
5265845233391407,QrCVZeeg7,2026-02-13T05:00:01+00:00,#和平精英新皮肤##和平精英镜花水月#全新系列角色 -【镜花水月】将于2月15日浪漫降临~天地灵气孕育“四灵”，她们驱邪纳吉，庇护世间安宁，邀请你进入这场名为镜,和平精英的微博视频,28,13,36,"https://f.video.weibocdn.com/u0/TnAxxaAEgx08vhJFXL28010412010B0i0E010.mp4?label=mp4_720p&template=1568x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603183&ssig=ySL4j%2BiTdb&KID=unistore,video",45.488,https://wx3.sinaimg.cn/orj480/007KbAWFgy1ia7ra3cajfj31hc0u07wi.jpg,0,,
5260515112390710,Qpoh1a1VQ,2026-01-29T12:00:01+00:00,#和平精英##和平精英丝路敦煌#在吗？小友小马神驾到，你的AI嘴替侦查官来啦！鸡仔为你解读小马神最新情报，这个春节有小马神的陪伴，特种兵们不会孤单！速去游戏会一,和平精英的微博视频,3,39,36,"https://f.video.weibocdn.com/u0/PesfwNShgx08uVKOOSW401041200zyUM0E010.mp4?label=mp4_720p&template=1028x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603213&ssig=sMGLr9Wagg&KID=unistore,video",96.827,https://wx3.sinaimg.cn/orj480/007KbAWFgy1i9rtpn45opj31hc0u07wi.jpg,0,,
5265618740975023,Qrx2G45Eb,2026-02-12T14:00:01+00:00,#和平精英##HIT安全系统#和平精英 巡查员故事：用热爱守护竞技公平改编自玩家真实故事，从普通玩家到巡查员，每一次严谨判定、每一份默默坚守，都是为了守护纯净的,和平精英的微博视频,108,20,35,"https://f.video.weibocdn.com/u0/d85rtpdcgx08vhVDKEeQ01041201i2bJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603183&ssig=Us6mndPi4r&KID=unistore,video",181.533,https://wx4.sinaimg.cn/orj480/007KbAWFgy1ia7wanw6qbj31hc0u0qv5.jpg,0,,
5271598894425095,Qu2C5izav,2026-03-01T02:03:01+00:00,和平精英#想去你的2026# 派对陷阱！韩澈被迫穿女装？ 和平精英的微博视频,和平精英的微博视频,1,21,34,"https://f.video.weibocdn.com/u0/VXHEqJuzgx08vCtUecSA01041201PC320E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603143&ssig=owIfWq0SRo&KID=unistore,video",227.811,https://wx2.sinaimg.cn/orj480/007KbAWFgy1iamskp4lo8j31hc0u04qp.jpg,0,,
5260454713886077,QpmHBgiWF,2026-01-29T08:00:01+00:00,和平精英#和平精英马上吃鸡##回家吃鸡倒计时##和平精英# 当和平精英打开色彩开关…… 点击视频，解锁神装的n种打开方式！ 和平精英的微博视频,和平精英的微博视频,4,22,34,"https://f.video.weibocdn.com/u0/ekVtxcdYgx08uQHCKTj201041200zGzY0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603215&ssig=LoQrZdJfN4&KID=unistore,video",45.767,https://wx3.sinaimg.cn/orj480/007KbAWFgy1i9o5wgw52oj31hc0u0kjl.jpg,0,,
5270874118687280,QtJL5ArXq,2026-02-27T02:03:01+00:00,和平精英#想去你的2026# NKG战队正式成立！复活赛名额争夺赛一触即发！ 和平精英的微博视频,和平精英的微博视频,6,20,33,"https://f.video.weibocdn.com/u0/QFVowVi1gx08vCtDfq4E01041201lTbI0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603143&ssig=PIc10otVMk&KID=unistore,video",192.702,https://wx2.sinaimg.cn/orj480/007KbAWFgy1iamsg2yz6cj31hc0u04qp.jpg,0,,
